Sensor_ID,Y,X,time_stamp,pm2.5_atm
142732,44.916058,-93.274155,2023-07-14T01:00:00Z,6.624499999999999
142736,44.972713,-93.28224,2023-07-14T01:00:00Z,8.5735
142744,44.996323,-93.29719,2023-07-14T01:00:00Z,8.9495
142750,44.921528,-93.32784,2023-07-14T01:00:00Z,10.8815
142748,44.965744,-93.285416,2023-07-14T01:00:00Z,7.391999999999999
142774,44.953075,-93.31713,2023-07-14T01:00:00Z,7.489
174855,45.05947,-93.294075,2023-07-14T01:00:00Z,6.109
143214,44.90534,-93.232285,2023-07-14T01:00:00Z,6.634
61239,45.0043,-93.2546,2023-07-14T01:00:00Z,7.3065
182801,44.961143,-93.18576,2023-07-14T01:00:00Z,6.5675
143216,44.97844,-93.263535,2023-07-14T01:00:00Z,7.101
143656,44.932285,-93.28308,2023-07-14T01:00:00Z,9.1825
