Sensor_ID,Y,X,time_stamp,pm2.5_atm
142720,44.955555,-93.254974,2022-07-04T18:00:00Z,12.763
3088,44.935818,-93.21752,2022-07-04T18:00:00Z,4.4205
113486,44.928123,-93.25389,2022-07-04T18:00:00Z,1.877
143284,44.95001,-93.24743,2022-07-04T18:00:00Z,5.8245000000000005
110979,44.997475,-93.25726,2022-07-04T18:00:00Z,7.091
143214,44.90534,-93.232285,2022-07-04T18:00:00Z,5.4635
143240,44.987465,-93.25782,2022-07-04T18:00:00Z,4.797499999999999
85113,44.93642,-93.17899,2022-07-04T18:00:00Z,6.506
143648,45.029537,-93.29194,2022-07-04T18:00:00Z,7.5295
128195,44.93578,-93.18634,2022-07-04T18:00:00Z,39.156
108364,44.878834,-93.35441,2022-07-04T18:00:00Z,3.7445
